icao,type,description,frequency_mhz
KONM,UNIC,CTAF/UNICOM,122.8
KONO,ASOS,ASOS,135.275
KONO,CNTR,SALT LAKE CITY CNTR,128.05
KONO,RDO,MC MINNVILLE RDO,122.3
KONO,UNIC,CTAF/UNICOM,122.8
KONP,AWOS,AWOS 3,133.9
KONP,CNTR,SEATTLE CNTR,125.8
KONP,UNIC,CTAF/UNICOM,122.8
KONT,A/D,SOCAL APP/DEP,119.65
KONT,ATIS,ATIS,124.25
KONT,CLD,CLNC DEL,118.1
KONT,GND,GND,121.9
KONT,TWR,TWR,120.6
KONX,A/D,OCEANA APP/DEP,124.825
KONX,AWOS,AWOS 3,119.775
KONX,CTAF,CTAF,122.9
KONY,CNTR,FORT WORTH CNTR,133.5
KONY,UNIC,CTAF/UNICOM,122.8
KONZ,APP,DETROIT APP,134.3
KONZ,AWOS,AWOS 3,119.675
KONZ,DEP,DETROIT DEP,134.3
KONZ,RDO,LANSING RDO,115.7
KONZ,UNIC,CTAF/UNICOM,123
KOOA,AWOS,AWOS 3,118.625
KOOA,CNTR,CHICAGO CNTR,118.15
KOOA,UNIC,CTAF/UNICOM,122.8
KOPF,A/D,MIAMI APP/DEP,128.6
KOPF,ATIS,ATIS,125.9
KOPF,CLD,CLNC DEL,119.2
KOPF,CTAF,CTAF,120.7
KOPF,GND,GND,121.9
KOPF,MISC,CG MIAMI AIR,123.1
KOPF,TWR,TWR,120.7
KOPL,A/D,LAFAYETTE APP/DEP,128.7
KOPL,RCO,DE RIDDER RDO,135.075
KOPL,UNIC,CTAF/UNICOM,123
KOPN,A/D,ATLANTA APP/DEP,119.6
KOPN,AWOS,AWOS 3,133.975
KOPN,FSS,MACON RDO,121.725
KOPN,UNIC,CTAF/UNICOM,122.8
KOQN,A/D,PHILADELPHIA APP/DEP,124.35
KOQN,CLD,CLNC DEL,125.6
KOQN,UNIC,CTAF/UNICOM,123.075
KOQU,A/D,PROVIDENCE APP/DEP,135.4
KOQU,CTAF,CTAF,126.35
KOQU,GND,GND,134.5
KOQU,OPS,ANG OPS,38.33
KOQU,POST,ARNG OPS,38.95
KOQU,RDO,BRIDGEPORT RDO,122.3
KOQU,TWR,TWR,126.35
KOQU,UNIC,UNICOM,122.95
KOQW,CNTR,CHICAGO CNTR,133.95
KOQW,UNIC,CTAF/UNICOM,122.8
KORB,AWOS,AWOS 3,118.325
KORB,CNTR,MINNEAPOLIS CNTR,120.9
KORB,UNIC,UNICOM,122.8
KORD,APP,APP,119
KORD,ASOS,ASOS,135.4
KORD,ATIS,ATIS,135.4
KORD,CLD,CLNC DEL,121.6
KORD,DEP,DEP,125
KORD,GND,GND,121.675
KORD,PTD,PTD,126.2
KORD,TWR,TWR,126.9
KORD,UNIC,UNICOM,122.95
KORE,ASOS,ASOS,135.675
KORE,CNTR,BOSTON CNTR,123.75
KORE,UNIC,CTAF/UNICOM,122.8
KORF,APP,APP,28.83
KORF,APP,APP,118.9
KORF,ATIS,ATIS,127.15
KORF,CLD,CLNC DEL,118.5
KORF,DEP,DEP,125.2
KORF,GND,GND,121.9
KORF,RDO,LEESBURG RDO,116.9
KORF,TWR,TWR,120.8
KORG,A/D,BEAUMONT APP/DEP,121.3
KORG,AWOS,AWOS 3,118.975
KORG,UNIC,CTAF/UNICOM,122.8
KORH,A/D,BRADLEY APP/DEP,119
KORH,ATIS,ATIS,126.55
KORH,CLD,CLNC DEL,128.65
KORH,CTAF,CTAF,120.5
KORH,GND,GND,123.85
KORH,RDO,BRIDGEPORT RDO,122.2
KORH,TWR,TWR,120.5
KORH,UNIC,UNICOM,122.95
KORK,A/D,LITTLE ROCK APP/DEP,119.5
KORK,CLD,LITTLE ROCK CLNC DEL,121.6
KORK,UNIC,CTAF/UNICOM,123.07
KORL,A/D,ORLANDO APP/DEP SW,119.4
KORL,A/D,ORLANDO APP/DEP 061-180° 4500' AND BELOW,119.775
KORL,A/D,ORLANDO APP/DEP 181-359° ABOVE 5500',120.15
KORL,A/D,ORLANDO APP/DEP 000-180° ABOVE 5000',124.8
KORL,A/D,ORLANDO APP/DEP 311-060° 5500' AND BELOW,135.3
KORL,ATIS,ATIS,127.25
KORL,CLD,CLNC DEL,128.45
KORL,CTAF,CTAF,118.7
KORL,GND,GND,121.4
KORL,RDO,ST PETERSBURG RDO,122.1
KORL,RDO,ST PETERSBURG RDO,122.2
KORL,TWR,TWR,118.7
KORL,UNIC,UNICOM,122.95
KORS,AWOS,,135.425
KORS,CTAF,,128.25
KORS,WHIDBEY  APP/DEP,,118.2
KOSA,A/D,FORT WORTH CNTR,132.85
KOSA,AWOS,AWOS 3,119.775
KOSA,UNIC,CTAF/UNICOM,122.7
KOSC,AWOS,AWOS 3,116.1
KOSC,CNTR,MINNEAPOLIS CNTR,118.525
KOSC,UNIC,CTAF/UNICOM,123
KOSH,ATIS,ATIS,125.9
KOSH,CNTR,CHICAGO CNTR,127
KOSH,CTAF,CTAF,118.5
KOSH,GND,GND,121.9
KOSH,RDO,GREEN BAY RDO,122.25
KOSH,TWR,OSHKOSH TWR,118.5
KOSH,UNIC,UNICOM,122.95
KOSU,A/D,COLUMBUS APP/DEP,120.2
KOSU,ATIS,ATIS,121.35
KOSU,CTAF,CTAF,118.8
KOSU,GCCD,GND/CLNC DEL,121.7
KOSU,TWR,TWR,118.8
KOSU,UNIC,UNICOM,122.95
KOSX,CNTR,MEMPHIS CNTR,135.75
KOSX,CTAF,CTAF,122.9
KOTG,AWOS,AWOS 3,110.6
KOTG,CNTR,MINNEAPOLIS CNTR,132.05
KOTG,RDO,PRINCETON RDO,110.6
KOTG,UNIC,CTAF/UNICOM,122.8
KOTH,AWOS,AWOS 3,135.075
KOTH,CNTR,SEATTLE CNTR,121.4
KOTH,MISC,AIR,34.5
KOTH,RDO,MC MINNVILLE RDO,122.4
KOTH,UNIC,UNICOM,122.7
KOTM,ASOS,ASOS,124.175
KOTM,CNTR,CHICAGO CNTR,118.15
KOTM,RDO,FORT DODGE RDO,122.4
KOTM,UNIC,CTAF/UNICOM,123
KOUN,A/D,OKE CITY APP/DEP,120.45
KOUN,AWOS,AWOS 3,119.55
KOUN,CTAF,CTAF,118
KOUN,GND,GND,121.6
KOUN,RDO,MC ALESTER RDO,122.15
KOUN,TWR,WESTHEIMER TWR,118
KOUN,UNIC,UNICOM,122.95
KOVE,A/D,NORCAL APP/DEP,125.4
KOVE,ASOS,ASOS,121.425
KOVE,UNIC,CTAF/UNICOM,122.8
KOVL,AWOS,AWOS 3,119.275
KOVL,CNTR,MINNEAPOLIS CNTR,127.1
KOVL,UNIC,CTAF/UNICOM,122.8
KOVO,AWOS,AWOS 3,120.625
KOVO,CNTR,INDIANAPOLIS CNTR,124.775
KOVO,RDO,TERRE HAUTE RDO,122.25
KOVO,UNIC,CTAF/UNICOM,122.7
KOVS,ASOS,ASOS,126.775
KOVS,CNTR,CHICAGO CNTR,133.3
KOVS,UNIC,CTAF/UNICOM,122.8
KOWA,A/D,ROCHESTER APP/DEP,119.8
KOWA,AWOS,AWOS 3,128.325
KOWA,CNTR,MINNEAPOLIS CNTR,132.35
KOWA,RDO,PRINCETON RDO,122.25
KOWA,UNIC,CTAF/UNICOM,122.7
KOWB,A/D,EVANSVILLE APP/DEP,126.4
KOWB,CTAF,CTAF,120.7
KOWB,GND,GND,121.7
KOWB,RDO,LOUISVILLE RDO,108.6
KOWB,TWR,TWR,120.7
KOWB,UNIC,UNICOM,122.95
KOWD,APP,BOSTON APP,124.1
KOWD,ATIS,ATIS,119.95
KOWD,CLD,CLNC DEL,121.8
KOWD,CTAF,CTAF,126
KOWD,DEP,BOSTON DEP,124.1
KOWD,GND,GND,121.8
KOWD,TWR,TWR,126
KOWI,CNTR,KANSAS CITY CNTR,127.725
KOWI,UNIC,CTAF/UNICOM,122.8
KOWK,A/D,PORTLAND APP/DEP,128.35
KOWK,UNIC,CTAF/UNICOM,122.8
KOWP,A/D,TULSA APP/DEP,124
KOWP,AWOS,AWOS 3,118.325
KOWP,UNIC,CTAF/UNICOM,122.7
KOWX,A/D,TOLEDO APP/DEP,120.8
KOWX,AWOS,AWOS 3,120.525
KOWX,UNIC,CTAF/UNICOM,122.7
KOXB,A/D,PATUXENT APP/DEP,127.95
KOXB,ASOS,ASOS,119.025
KOXB,UNIC,CTAF/UNICOM,122.8
KOXC,A/D,NEW YORK APP/DEP,124.075
KOXC,AWOS,AWOS 3,132.975
KOXC,CLD,NEW YORK CLNC DEL,135.1
KOXC,CTAF,CTAF,118.475
KOXC,GND,GND,121.65
KOXC,TWR,OXFORD TWR,118.475
KOXC,UNIC,UNICOM,122.7
KOXD,A/D,CINCINNATI APP/DEP,121
KOXD,UNIC,CTAF/UNICOM,122.8
KOXI,A/D,SOUTH BEND APP/DEP,132.05
KOXI,RDO,TERRE HAUTE RDO,115.6
KOXI,UNIC,CTAF/UNICOM,122.8
KOXR,A/D,PT MUGU APP/DEP,124.7
KOXR,ATIS,ATIS,118.05
KOXR,CTAF,CTAF,134.95
KOXR,GND,GND,121.9
KOXR,TWR,TWR,134.95
KOXV,A/D,DES MOINES APP/DEP,123.9
KOXV,AWOS,AWOS 3,119.775
KOXV,UNIC,CTAF/UNICOM,122.8
KOYM,AWOS,AWOS 3,118.05
KOYM,CLD,ALTOONA RDO CLNC DEL,121.3
KOYM,CNTR,CLEVELAND CNTR,124.325
KOYM,UNIC,CTAF/UNICOM,122.7
KOZA,CNTR,HOUSTON CNTR,125.75
KOZA,UNIC,CTAF/UNICOM,122.8
KOZR,A/D,APP/DEP,121.1
KOZR,ATIS,ATIS,111.2
KOZR,CLD,CLNC DEL,118.075
KOZR,CTAF,CTAF,135.2
KOZR,GND,GND,121.9
KOZR,OPS,OPS,126.2
KOZR,PMSV,PMSV METRO,134.1
KOZR,TWR,TWR,135.2
KOZW,APP,DETROIT APP,127.5
KOZW,AWOS,AWOS 3,118.875
KOZW,DEP,DETROIT DEP,127.5
KOZW,UNIC,CTAF/UNICOM,123
KPAE,ATIS,ATIS,128.65
KPAE,CLD,CLNC DEL,126.75
KPAE,CNTR,SEATTLE CNTR,128.5
KPAE,CTAF,CTAF,132.95
KPAE,GND,GND,121.8
KPAE,OPS,AR OPS,34.1
KPAE,RDO,SEATTLE RDO,132.96
KPAE,TWR,ACFT ARR E OF CNTRLN ORRY 16L/34R,120.2
KPAE,TWR,ACFT ARR W OF CNTRLN ORRY 16R/34L,132.95
KPAE,UNIC,UNICOM,122.95
KPAH,ASOS,ASOS,118.375
KPAH,CNTR,MEMPHIS CNTR,133.65
KPAH,CTAF,CTAF,119.6
KPAH,GND,GND,121.7
KPAH,RDO,LOUISVILLE RDO,122.2
KPAH,TWR,PADUCAH TWR,119.6
KPAH,UNIC,UNICOM,123
KPAM,A/D,APP/DEP,119.1
KPAM,ATIS,ATIS,25.44
KPAM,CLD,CLNC DEL,118.05
KPAM,GND,GND,121.9
KPAM,PMSV,PMSV METRO,29.062
KPAM,POST,COMD POST,38.13
KPAM,PTD,PTD,139.9
KPAM,TWR,TWR,133.95
KPAN,AWOS,AWOS 3,119.325
KPAN,FSS,PRESCOTT RDO,122.3
KPAN,UNIC,CTAF/UNICOM,122.8
KPAO,APP,NORCAL APP,33.82
KPAO,APP,NORCAL APP,121.3
KPAO,ATIS,ATIS,135.275
KPAO,CTAF,CTAF,118.6
KPAO,DEP,NORCAL DEP,121.3
KPAO,GND,GND,125
KPAO,TWR,TWR,118.6
KPAO,UNIC,UNICOM,122.95
KPBF,A/D,LITTLE ROCK APP/DEP,119.85
KPBF,ASOS,ASOS,120.775
KPBF,CLD,LITTLE ROCK CLNC DEL,119.85
KPBF,RDO,JONESBORO RDO,122.6
KPBF,UNIC,CTAF/UNICOM,123
KPBG,A/D,BURLINGTON APP/DEP,121.1
KPBG,UNIC,CTAF/UNICOM,122.7
KPBH,A/D,MINNEAPOLIS APP/DEP,133.65
KPBH,AWOS,AWOS 3,125.875
KPBH,RDO,GREEN BAY RDO,122.05
KPBH,UNIC,CTAF/UNICOM,122.8
KPBI,APP,APP,124.6
KPBI,ASOS,ASOS,119.975
KPBI,ATIS,ATIS,123.75
KPBI,CLD,CLNC DEL,121.6
KPBI,DEP,DEP,127.35
KPBI,GND,GND,121.9
KPBI,RDO,MIAMI RDO,122.4
KPBI,TWR,TWR,119.1
KPBI,UNIC,UNICOM,122.95
KPBX,CNTR,INDIANAPOLIS CNTR,126.575
KPBX,UNIC,CTAF/UNICOM,122.8
KPCM,A/D,TAMPA APP/DEP,120.65
KPCM,AWOS,AWOS 3,120.025
KPCM,UNIC,CTAF/UNICOM,123
KPCW,A/D,CLEVELAND APP/DEP,126.35
KPCW,AWOS,AWOS 3,118.775
KPCW,RDO,CLEVELAND RDO,109.2
KPCW,UNIC,CTAF/UNICOM,122.8
KPCZ,A/D,MINNEAPOLIS CNTR,124.4
KPCZ,AWOS,AWOS 3,118.625
KPCZ,UNIC,CTAF/UNICOM,122.8
KPDC,A/D,CHICAGO APP/DEP,133.95
KPDC,AWOS,AWOS 3,119.925
KPDC,RDO,GREEN BAY RDO,122.25
KPDC,UNIC,CTAF/UNICOM,122.8
KPDK,A/D,ATLANTA  APP/DEP,126.975
KPDK,ATIS,ATIS,128.4
KPDK,CLD,CLNC DEL,120.9
KPDK,CTAF,CTAF,120.9
KPDK,GND,GND,121.6
KPDK,RDO,MACON RDO,116.6
KPDK,TWR,PEACHTREE TWR,120.9
KPDK,UNIC,UNICOM,122.95
KPDT,A/D,CHINOOK APP/DEP,133.15
KPDT,ASOS,ASOS,118.325
KPDT,CTAF,CTAF,119.7
KPDT,GND,GND,121.9
KPDT,OPS,ARNG OPS,40.9
KPDT,RDO,MC MINNVILLE RDO,122.2
KPDT,TWR,PENDLETON TWR,119.7
KPDT,UNIC,UNICOM,122.95
KPDX,ACP,939 ARW COMD POST,124.35
KPDX,APP,APP,118.1
KPDX,APP,APP,129.92
KPDX,ATIS,ATIS,120.625
KPDX,CLD,CLNC DEL,120.125
KPDX,DEP,DEP,118.1
KPDX,GND,GND,121.9
KPDX,OPS,ANG BASE OPS,128.05
KPDX,TWR,TWR,118.7
KPDX,UNIC,UNICOM,122.95
KPEA,A/D,DES MOINES APP/DEP,123.9
KPEA,AWOS,AWOS 3,118.875
KPEA,UNIC,CTAF/UNICOM,122.8
KPEO,A/D,ELIMIRA APP/DEP,124.3
KPEO,ASOS,ASOS,121.175
KPEO,UNIC,CTAF/UNICOM,123
KPEQ,AWOS,AWOS 3,118.175
KPEQ,CNTR,ALBUQUERQUE CNTR,135.875
KPEQ,RDO,SAN ANGELO RDO,111.8
KPEQ,UNIC,CTAF/UNICOM,122.8
KPEX,AWOS,AWOS 3,120.35
KPEX,CTAF,CTAF,122.9
KPEZ,APP,SAN ANTONIO APP,118.05
KPEZ,CLD,CLNC DEL,126.55
KPEZ,DEP,SAN ANTONIO DEP,125.7
KPEZ,UNIC,CTAF/UNICOM,122.7
KPGA,ASOS,ASOS,120.625
KPGA,CNTR,DENVER CNTR,127.55
KPGA,RDO,PRESCOTT RDO,122.45
KPGA,UNIC,CTAF/UNICOM,122.8
KPGD,A/D,FORT MYERS APP/DEP,126.8
KPGD,ASOS,ASOS,135.675
KPGD,CLD,CLNC DEL,127.05
KPGD,RDO,ST PETERSBURG RDO,122.025
KPGD,UNIC,CTAF/UNICOM,122.975
KPGR,CNTR,MEMPHIS CNTR,120.075
KPGR,UNIC,CTAF/UNICOM,122.8
KPGV,AWOS,AWOS 3,128.425
KPGV,CLD,CLNC DEL,122.35
KPGV,CNTR,WASHINGTON CNTR,135.5
KPGV,UNIC,CTAF/UNICOM,122.8
KPHD,A/D,AKRON CANTON APP/DEP,125.5
KPHD,ASOS,ASOS,121.425
KPHD,RDO,CLEVELAND RDO,112.4
KPHD,UNIC,CTAF/UNICOM,122.8
KPHF,APP,NORFOLK APP,125.7
KPHF,ATIS,ATIS,128.65
KPHF,CLD,CLNC DEL,121.65
KPHF,CTAF,CTAF,118.7
KPHF,DEP,NORFOLK DEP,124.9
KPHF,GND,GND,121.9
KPHF,RDO,LEESBURG RDO,122.65
KPHF,TWR,TWR,124.9
KPHF,UNIC,UNICOM,122.95
KPHG,AWOS,AWOS 3,119.125
KPHG,CNTR,DENVER CNTR,132.5
KPHG,UNIC,CTAF/UNICOM,122.8
KPHH,A/D,MYRTLE BEACH APP/DEP,127.4
KPHH,CTAF,CTAF,122.9
KPHK,A/D,APP/DEP,124.6
KPHK,RDO,MIAMI RDO,122.35
KPHK,UNIC,CTAF/UNICOM,122.8
KPHL,APP,APP,123.8
KPHL,ARR,PRM,120.425
KPHL,ATIS,ATIS,133.4
KPHL,CLD,CLNC DEL,118.85
KPHL,DEP,DEP,119.75
KPHL,GND,GND,121.9
KPHL,TWR,TWR,118.5
KPHL,UNIC,UNICOM,122.95
KPHN,A/D,SELFRIDGE APP/DEP,119.6
KPHN,AWOS,AWOS 3,118.375
KPHN,UNIC,CTAF/UNICOM,123.05
KPHP,ASOS,ASOS,118.375
KPHP,CNTR,DENVER CNTR,127.95
KPHP,RDO,HURON RDO,122.4
KPHP,UNIC,CTAF/UNICOM,122.8
KPHT,AWOS,AWOS 3,118.825
KPHT,CNTR,MEMPHIS CNTR,134.65
KPHT,UNIC,CTAF/UNICOM,123
KPHX,A/D,319-057° 7500' AND ABOVE,119.2
KPHX,A/D,319-057° BELOW 7500',120.7
KPHX,A/D,139-191° BELOW 8500',123.7
KPHX,A/D,192-263° 7500-12500',124.1
KPHX,A/D,"058-118° BELOW 10,500'",124.9
KPHX,A/D,"119-138° ABOVE 14,500'",126.8
KPHX,A/D,340-079° ABOVE 5500' INITIAL CONTACT,128.65
KPHX,ATIS,ATIS,127.575
KPHX,CLD,CLNC DEL,118.1
KPHX,GND,NORTH,119.75
KPHX,GND,SOUTH,132.55
KPHX,POST,ANG COMD POST,140
KPHX,RDO,PRESCOTT RDO,122.2
KPHX,TWR,RWAY 08-26,118.7
KPHX,TWR,RWAY 07-25,120.9
KPHX,UNIC,UNICOM,122.95
KPIA,A/D,PEORIA APP/DEP,124.675
KPIA,ASOS,ASOS,126.1
KPIA,ATIS,ATIS,126.1
KPIA,GND,GND,121.85
KPIA,OPS,ARNG OPS,32.3
KPIA,POST,ANG OPS,141.55
KPIA,RDO,KANKAKEE RDO,122.35
KPIA,TWR,PEORIA TWR,119.1
KPIA,UNIC,UNICOM,122.95
KPIB,AWOS,AWOS 3,128.325
KPIB,CNTR,HOUSTON CNTR,126.8
KPIB,UNIC,CTAF/UNICOM,123
KPIE,A/D,TAMPA APP/DEP,125.3
KPIE,ATIS,ATIS,134.5
KPIE,CLD,CLNC DEL,120.6
KPIE,CTAF,CTAF,118.3
KPIE,GND,GND,121.9
KPIE,MISC,AIR CG,38.18
KPIE,RDO,RDO,122.1
KPIE,RDO,RDO,122.2
KPIE,TWR,TWR,118.3
KPIE,UNIC,UNICOM,122.95
KPIH,ASOS,ASOS,135.625
KPIH,CLD,CLNC DEL,126.55
KPIH,CNTR,SALT LAKE CITY CNTR,128.35
KPIH,CTAF,CTAF,119.1
KPIH,FSS,BOISE RDO,122.35
KPIH,GND,GND,121.9
KPIH,RCO,BOISE RDO,122.35
KPIH,TWR,TWR,119.1
KPIH,UNIC,UNICOM,122.95
KPIL,A/D,VALLEY APP/DEP,119.5
KPIL,ASOS,ASOS,118.525
KPIL,CLD,CLNC DEL,119.2
KPIL,UNIC,CTAF/UNICOM,122.8
KPIM,A/D,ATLANTA APP/DEP,125.5
KPIM,CLD,CLNC DEL,120.45
KPIM,UNIC,CTAF/UNICOM,122.8
KPIR,ASOS,ASOS,119.025
KPIR,CNTR,MINNEAPOLIS CNTR,125.1
KPIR,CTAF,CTAF,122.7
KPIR,RDO,HURON RDO,122.2
KPIR,UNIC,UNICOM,122.95
KPIT,APP,APP,36.08
KPIT,APP,APP,120.875
KPIT,ATIS,ATIS,127.25
KPIT,CLD,CLNC DEL,126.75
KPIT,DEP,DEP,118.65
KPIT,GND,GND,121.9
KPIT,OPS,ANG OPS,31.1
KPIT,POST,PITT COMD POST,25.21
KPIT,RDO,ALTOONA RDO,112
KPIT,RMP,RAMP CON,131.375
KPIT,TWR,TWR,119.1
KPIT,UNIC,UNICOM,122.95
KPJC,A/D,PITTSBURGH APP/DEP,124.75
KPJC,CTAF,CTAF,122.9
KPJY,CNTR,KANSAS CITY CNTR,125.3
KPJY,UNIC,CTAF/UNICOM,122.8
KPKB,ATIS,ATIS,124.35
KPKB,CNTR,INDIANAPOLIS CNTR,125.55
KPKB,CTAF,CTAF,123.7
KPKB,GND,GND,121.7
KPKB,TWR,PARKERSBURG TWR,123.7
KPKB,UNIC,UNICOM,122.95
KPKD,ASOS,ASOS,110.6
KPKD,RDO,PRINCETON RDO,110.6
KPKD,UNIC,CTAF/UNICOM,123
KPKF,A/D,MINNEAPOLIS APP/DEP,133.65
KPKF,UNIC,CTAF/UNICOM,122.9
KPKV,AWOS,AWOS 3,118.275
KPKV,CNTR,HOUSTON CNTR,128.15
KPKV,UNIC,CTAF/UNICOM,122.8
KPLD,A/D,FORT WAYNE APP/DEP,127.2
KPLD,AWOS,AWOS 3,126.675
KPLD,UNIC,CTAF/UNICOM,122.8
KPLK,A/D,SPRINGFIELD APP/DEP,126.35
KPLK,RDO,COLUMBIA RDO,122.65
KPLK,UNIC,CTAF/UNICOM,122.7
KPLN,ASOS,ASOS,119.025
KPLN,CNTR,MINNEAPOLIS CNTR,134.6
KPLN,RDO,LANSING RDO,122.2
KPLN,UNIC,CTAF/UNICOM,123
KPLR,A/D,BIRMINGHAM APP/DEP,123.8
KPLR,UNIC,CTAF/UNICOM,123.05
KPMB,CNTR,MINNEAPOLIS CNTR,132.15
KPMB,UNIC,CTAF/UNICOM,122.8
KPMD,A/D,JOSHUA APP/DEP,124.55
KPMD,ASOS,ASOS,118.275
KPMD,CTAF,CTAF,123.7
KPMD,GND,GND,121.9
KPMD,TWR,TWR,123.7
KPMH,A/D,HUNTINGTON APP/DEP,128.4
KPMH,AWOS,AWOS 3,125.175
KPMH,UNIC,CTAF/UNICOM,122.8
KPMP,A/D,MIAMI APP/DEP,119.7
KPMP,ATIS,ATIS,120.55
KPMP,CTAF,CTAF,125.4
KPMP,GND,GND,121.9
KPMP,TWR,TWR,125.4
KPMP,UNIC,UNICOM,122.95
KPMU,CNTR,MEMPHIS CNTR,128.5
KPMU,UNIC,CTAF/UNICOM,122.8
KPMV,A/D,OMAHA APP/DEP,120.1
KPMV,UNIC,CTAF/UNICOM,122.7
KPMZ,A/D,WASHINGTON APP/DEP,135.5
KPMZ,UNIC,CTAF/UNICOM,122.8
KPNA,AWOS,AWOS 3,118.325
KPNA,CNTR,SALT LAKE CITY CNTR,128.35
KPNA,UNIC,CTAF/UNICOM,122.8
KPNC,ASOS,ASOS,134.075
KPNC,CNTR,KANSAS CITY CNTR,127.8
KPNC,RDO,MC ALESTER RDO,122.25
KPNC,UNIC,CTAF/UNICOM,123
KPNE,A/D,PHILADELPHIA APP/DEP,123.8
KPNE,ATIS,ATIS,121.15
KPNE,CLD,CLNC DEL,127.25
KPNE,CTAF,CTAF,126.9
KPNE,GND,GND,121.7
KPNE,RDO,WILLIAMSPORT RDO,122.2
KPNE,TWR,TWR,126.9
KPNE,UNIC,UNICOM,122.95
KPNM,AWOS,AWOS 3,119.025
KPNM,CNTR,MINNEAPOLIS CNTR,121.05
KPNM,RDO,RDO,122.2
KPNM,UNIC,CTAF/UNICOM,123
KPNN,CNTR,BOSTON CNTR,124.25
KPNN,RDO,BANGOR RDO,114.3
KPNN,UNIC,CTAF/UNICOM,122.8
KPNS,A/D,APP/DEP,118.6
KPNS,ATIS,ATIS,121.25
KPNS,CLD,CLNC DEL,123.725
KPNS,CTAF,CTAF,119.9
KPNS,GND,GND,121.9
KPNS,RDO,GAINESVILLE RDO,122.2
KPNS,TWR,TWR,119.9
KPNS,UNIC,UNICOM,122.95
KPNT,AWOS,AWOS 3,119.675
KPNT,CNTR,CHICAGO CNTR,124.55
KPNT,UNIC,CTAF/UNICOM,122.8
KPOB,A/D,FAYETTEVILLE APP/DEP,125.175
KPOB,ACP,COMD POST,134.1
KPOB,ATIS,ATIS,132.3
KPOB,CLD,CLNC DEL,27.58
KPOB,GND,GND,124.55
KPOB,PMSV,PMSV METRO,34.46
KPOB,PTD,PTD,37.22
KPOB,TWR,TWR,135.025
KPOC,A/D,SOCAL APP/DEP,125.5
KPOC,ATIS,ATIS,124.4
KPOC,CTAF,CTAF,118.2
KPOC,GND,GND,125
KPOC,TWR,TWR,118.2
KPOC,UNIC,UNICOM,122.95
KPOE,A/D,APP/DEP,123.7
KPOE,ATIS,ATIS,134.85
KPOE,FCC,FLT FOLLOWING,123.7
KPOE,GND,GND,121.8
KPOE,INFO,RANGE CON,40.95
KPOE,MISC,MEDEVAC OPS,42.5
KPOE,OPS,POE OPS,36.05
KPOE,PMSV,PMSV METRO,135
KPOE,TWR,TWR,41.5
KPOF,ASOS,ASOS,124.225
KPOF,CNTR,MEMPHIS CNTR,120.075
KPOF,UNIC,CTAF/UNICOM,123
KPOH,CNTR,MINNEAPOLIS CNTR,134
KPOH,UNIC,CTAF/UNICOM,122.8
KPOU,ASOS,ASOS,126.75
KPOU,ATIS,ATIS,126.75
KPOU,CLD,CLNC DEL,121.8
KPOU,CNTR,NEW YORK CNTR,132.75
KPOU,CTAF,CTAF,124
KPOU,GND,GND,121.8
KPOU,RDO,NEW YORK RDO,122.2
KPOU,TWR,TWR,124
KPOU,UNIC,UNICOM,122.95
KPOV,A/D,AKRON CANTON APP/DEP,118.6
KPOV,CLD,CLNC DEL,125.65
KPOV,UNIC,CTAF/UNICOM,123.05
KPOY,AWOS,AWOS 3,119.275
KPOY,RDO,CASPER RDO,122.3
KPOY,UNIC,CTAF/UNICOM,122.7
KPPA,AWOS,AWOS 3,118.725
KPPA,CNTR,ALBUQUERQUE CNTR,127.85
KPPA,UNIC,CTAF/UNICOM,122.7
KPPF,ASOS,ASOS,118.175
KPPF,CNTR,KANSAS CITY CNTR,132.9
KPPF,RDO,WICHITA RDO,122.35
KPPF,UNIC,CTAF/UNICOM,123
KPPO,A/D,SOUTH BEND APP/DEP,132.05
KPPO,AWOS,AWOS 3,119.825
KPPO,CTR,CHICAGO CTR,135.9
KPPO,RDO,TERRE HAUTE RDO,115.6
KPPO,UNIC,CTAF/UNICOM,123
KPPQ,CNTR,KANSAS CITY CNTR,135.525
KPPQ,UNIC,CTAF/UNICOM,122.8
KPQI,AWOS,AWOS 3,118.025
KPQI,CLD,BOSTON CLNC DEL,121.6
KPQI,CNTR,BOSTON CNTR,124.75
KPQI,UNIC,CTAF/UNICOM,122.8
KPQL,A/D,MOBILE APP/DEP,121
KPQL,ATIS,ATIS,135.175
KPQL,CLD,CLD,121.725
KPQL,CTAF,CTAF,118.575
KPQL,GND,GND,121.725
KPQL,TWR,TWR,118.575
KPQL,UNIC,UNICOM,122.8
KPQN,APP,MINNEAPOLIS CNTR,132.05
KPQN,AWOS,AWOS 3,118.375
KPQN,UNIC,CTAF/UNICOM,122.8
KPRB,ASOS,ASOS,132.175
KPRB,CNTR,OAKLAND CNTR,128.7
KPRB,RDO,HAWTHORNE RDO,122.4
KPRB,UNIC,CTAF/UNICOM,123
KPRC,ATIS,ATIS,127.2
KPRC,CNTR,ALBUQUERQUE CNTR,128.45
KPRC,CTAF,CTAF,125.3
KPRC,GND,GND,121.7
KPRC,RDO,PRESCOTT RDO,122.2
KPRC,TWR,PRESCOTT TWR,125.3
KPRC,UNIC,UNICOM,122.95
KPRG,A/D,HULMAN APP/DEP,125.45
KPRG,AWOS,AWOS 3,124.175
KPRG,UNIC,CTAF/UNICOM,123
KPRN,ASOS,ASOS,120
